Table,Year,Data_item,Region,State,Value,Units
Milk cows,1972,"Milk cows, average inventory",United States,Total region,11700.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Connecticut,54.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Delaware,12.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Maine,60.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Maryland,142.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Massachusetts,55.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,New Hampshire,33.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,New Jersey,56.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,New York,903.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Pennsylvania,669.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Rhode Island,5.90,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Vermont,191.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northeast,Total region,2180.90,Thousand head
Milk cows,1973,"Milk cows, average inventory",Lake States,Michigan,423.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Lake States,Minnesota,911.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Lake States,Wisconsin,1810.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Lake States,Total region,3144.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Corn Belt,Illinois,267.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Corn Belt,Indiana,228.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Corn Belt,Iowa,425.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Corn Belt,Missouri,317.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Corn Belt,Ohio,421.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Corn Belt,Total region,1658.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northern Plains,Kansas,154.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northern Plains,Nebraska,164.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northern Plains,North Dakota,122.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northern Plains,South Dakota,176.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Northern Plains,Total region,616.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Appalachia,Kentucky,310.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Appalachia,North Carolina,155.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Appalachia,Tennessee,234.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Appalachia,Virginia,175.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Appalachia,West Virginia,42.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Appalachia,Total region,916.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Southeast,Alabama,105.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Southeast,Florida,202.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Southeast,Georgia,136.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Southeast,South Carolina,59.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Southeast,Total region,502.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Delta States,Arkansas,93.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Delta States,Louisiana,145.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Delta States,Mississippi,141.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Delta States,Total region,379.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Southern Plains,Oklahoma,130.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Southern Plains,Texas,355.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Southern Plains,Total region,485.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,Arizona,57.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,Colorado,75.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,Idaho,156.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,Montana,30.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,Nevada,13.80,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,New Mexico,30.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,Utah,74.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,Wyoming,14.10,Thousand head
Milk cows,1973,"Milk cows, average inventory",Mountain Region,Total region,449.90,Thousand head
Milk cows,1973,"Milk cows, average inventory",West Coast,California,792.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",West Coast,Oregon,93.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",West Coast,Washington,183.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",West Coast,Total region,1068.00,Thousand head
Milk cows,1973,"Milk cows, average inventory",Other States,Alaska,1.70,Thousand head
Milk cows,1973,"Milk cows, average inventory",Other States,Hawaii,12.80,Thousand head
Milk cows,1973,"Milk cows, average inventory",Other States,Total region,14.50,Thousand head
Milk cows,1973,"Milk cows, average inventory",United States,Total region,11413.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Connecticut,54.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Delaware,12.20,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Maine,60.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Maryland,142.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Massachusetts,54.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,New Hampshire,32.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,New Jersey,50.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,New York,905.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Pennsylvania,687.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Rhode Island,5.90,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Vermont,193.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northeast,Total region,2195.10,Thousand head
Milk cows,1974,"Milk cows, average inventory",Lake States,Michigan,418.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Lake States,Minnesota,890.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Lake States,Wisconsin,1801.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Lake States,Total region,3109.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Corn Belt,Illinois,254.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Corn Belt,Indiana,220.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Corn Belt,Iowa,407.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Corn Belt,Missouri,314.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Corn Belt,Ohio,407.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Corn Belt,Total region,1602.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Northern Plains,Kansas,147.00,Thousand head
